finalTimestamp,sentFromPipelineTimestamp,receivedTimestamp,percentage
1743013600215,1743009457718,1743013600123.0,68
1743013601211,1743009458724,1743013601135.0,69
1743013602243,1743009459753,1743013602163.0,70
1743013603236,1743009460742,1743013603153.0,71
1743013604245,1743009461758,1743013604170.0,72
1743013605260,1743009462755,1743013605163.0,73
1743013606245,1743009463758,1743013606165.0,74
1743013607261,1743009464778,1743013607187.0,75
1743013608279,1743009465796,1743013608208.0,76
1743013609308,1743009466819,1743013609230.0,77
1743013610307,1743009467813,1743013610225.0,78
1743013611334,1743009468830,1743013611236.0,79
1743013612321,1743009469836,1743013612247.0,80
1743013613330,1743009470843,1743013613253.0,81
1743013614334,1743009471849,1743013614260.0,80
1743013615348,1743009472864,1743013615269.0,79
1743013616375,1743009473873,1743013616280.0,78
1743013617347,1743009474864,1743013617277.0,77
1743013618367,1743009475875,1743013618284.0,76
1743013619388,1743009476891,1743013619298.0,75
1743013620369,1743009477885,1743013620286.0,74
1743013621374,1743009478891,1743013621299.0,73
1743013622396,1743009479904,1743013622307.0,72
1743013623397,1743009480904,1743013623313.0,71
1743013624418,1743009481930,1743013624334.0,70
1743013625403,1743009482912,1743013625320.0,69
1743013626388,1743009483902,1743013626310.0,68
1743013627409,1743009484923,1743013627325.0,67
1743013628435,1743009485946,1743013628345.0,66
1743013629419,1743009486933,1743013629343.0,65
1743013630431,1743009487941,1743013630346.0,64
1743013631436,1743009488948,1743013631358.0,63
1743013632422,1743009489939,1743013632350.0,62
1743013633444,1743009490959,1743013633369.0,61
1743013634487,1743009491996,1743013634391.0,60
1743013635476,1743009492993,1743013635394.0,59
1743013636461,1743009493977,1743013636390.0,58
1743013637480,1743009494991,1743013637403.0,57
1743013638459,1743009495978,1743013638391.0,56
1743013639495,1743009497003,1743013639417.0,55
1743013640493,1743009498006,1743013640416.0,54
1743013641501,1743009499009,1743013641417.0,53
1743013642513,1743009500021,1743013642433.0,52
1743013643516,1743009501027,1743013643437.0,51
1743013644501,1743009502017,1743013644428.0,50
1743013645528,1743009503041,1743013645445.0,49
1743013646546,1743009504054,1743013646464.0,48
1743013647538,1743009505052,1743013647463.0,47
1743013648545,1743009506058,1743013648467.0,46
1743013649557,1743009507072,1743013649480.0,45
1743013650573,1743009508076,1743013650486.0,44
1743013651554,1743009509070,1743013651482.0,43
1743013652607,1743009510106,1743013652520.0,42
1743013653603,1743009511115,1743013653518.0,41
1743013654624,1743009512132,1743013654537.0,40
1743013655610,1743009513121,1743013655530.0,39
1743013656638,1743009514148,1743013656548.0,38
1743013657635,1743009515152,1743013657565.0,37
